267.320, 130.772, 8.352, 10.950 False
266.903, 130.760, 8.351, 11.000 False
266.485, 130.748, 8.351, 11.050 False
266.068, 130.737, 8.351, 11.100 False
265.651, 130.723, 8.350, 11.150 False
265.234, 130.710, 8.349, 11.200 False
264.816, 130.697, 8.349, 11.250 False
264.399, 130.683, 8.349, 11.300 False
263.982, 130.669, 8.348, 11.350 False
263.565, 130.655, 8.348, 11.400 False
263.148, 130.641, 8.347, 11.450 False
262.731, 130.626, 8.347, 11.500 False
262.314, 130.612, 8.347, 11.550 False
261.896, 130.597, 8.346, 11.600 False
261.479, 130.582, 8.346, 11.650 False
261.062, 130.566, 8.345, 11.700 False
260.646, 130.551, 8.345, 11.750 False
260.229, 130.535, 8.344, 11.800 False
259.812, 130.519, 8.344, 11.850 False
259.395, 130.503, 8.344, 11.900 False
258.978, 130.487, 8.343, 11.950 False
258.561, 130.471, 8.343, 12.000 False
258.144, 130.455, 8.343, 12.050 False
257.727, 130.438, 8.342, 12.100 False
257.311, 130.422, 8.342, 12.150 False
256.894, 130.405, 8.342, 12.200 False
256.477, 130.388, 8.341, 12.250 False
256.061, 130.371, 8.341, 12.300 False
255.644, 130.354, 8.341, 12.350 False
255.227, 130.337, 8.340, 12.400 False
254.810, 130.320, 8.340, 12.450 False
254.394, 130.302, 8.340, 12.500 False
253.977, 130.285, 8.340, 12.550 False
253.561, 130.268, 8.339, 12.600 False
253.144, 130.250, 8.339, 12.650 False
252.727, 130.233, 8.339, 12.700 False
252.311, 130.215, 8.339, 12.750 False
251.894, 130.197, 8.339, 12.800 False
251.478, 130.180, 8.338, 12.850 False
251.061, 130.162, 8.338, 12.900 False
250.645, 130.145, 8.338, 12.950 False
250.228, 130.127, 8.338, 13.000 False
249.812, 130.109, 8.338, 13.050 False
249.395, 130.092, 8.337, 13.100 False
248.979, 130.074, 8.337, 13.150 False
248.562, 130.057, 8.337, 13.200 False
248.146, 130.039, 8.337, 13.250 False
247.729, 130.022, 8.337, 13.300 False
247.313, 130.004, 8.337, 13.350 False
246.896, 129.987, 8.337, 13.400 False
246.480, 129.969, 8.336, 13.450 False
246.063, 129.952, 8.336, 13.500 False
245.647, 129.935, 8.336, 13.550 False
245.230, 129.918, 8.336, 13.600 False
244.814, 129.901, 8.336, 13.650 False
244.398, 129.884, 8.336, 13.700 False
243.981, 129.867, 8.336, 13.750 False
243.565, 129.850, 8.336, 13.800 False
243.148, 129.833, 8.335, 13.850 False
242.732, 129.817, 8.335, 13.900 False
242.315, 129.800, 8.335, 13.950 False
241.899, 129.784, 8.335, 14.000 False
241.483, 129.768, 8.335, 14.050 False
241.066, 129.752, 8.335, 14.100 False
240.650, 129.736, 8.335, 14.150 False
240.233, 129.720, 8.335, 14.200 False
239.817, 129.704, 8.335, 14.250 False
239.400, 129.688, 8.335, 14.300 False
238.984, 129.673, 8.335, 14.350 False
238.568, 129.657, 8.335, 14.400 False
238.151, 129.642, 8.335, 14.450 False
237.735, 129.627, 8.335, 14.500 False
237.318, 129.612, 8.334, 14.550 False
236.902, 129.598, 8.334, 14.600 False
236.485, 129.583, 8.334, 14.650 False
236.069, 129.569, 8.334, 14.700 False
235.652, 129.555, 8.334, 14.750 False
235.236, 129.542, 8.334, 14.800 False
234.819, 129.528, 8.334, 14.850 False
234.403, 129.515, 8.334, 14.900 False
233.986, 129.502, 8.334, 14.950 False
233.570, 129.489, 8.334, 15.000 False
233.153, 129.476, 8.334, 15.050 False
232.737, 129.464, 8.334, 15.100 False
232.320, 129.451, 8.334, 15.150 False
231.904, 129.439, 8.334, 15.200 False
231.487, 129.427, 8.334, 15.250 False
231.071, 129.416, 8.334, 15.300 False
230.654, 129.404, 8.334, 15.350 False
230.238, 129.392, 8.334, 15.400 False
229.821, 129.381, 8.334, 15.450 False
229.405, 129.370, 8.334, 15.500 False
228.988, 129.359, 8.334, 15.550 False
228.571, 129.349, 8.334, 15.600 False
228.155, 129.338, 8.334, 15.650 False
227.738, 129.328, 8.334, 15.700 False
227.322, 129.318, 8.334, 15.750 False
226.905, 129.308, 8.334, 15.800 False
226.489, 129.298, 8.334, 15.850 False
226.072, 129.289, 8.334, 15.900 False
225.656, 129.280, 8.333, 15.950 False
225.239, 129.271, 8.333, 16.000 False
224.822, 129.262, 8.333, 16.050 False
224.406, 129.253, 8.333, 16.100 False
223.989, 129.245, 8.333, 16.150 False
223.573, 129.236, 8.333, 16.200 False
223.156, 129.228, 8.333, 16.250 False
222.739, 129.220, 8.333, 16.300 False
222.323, 129.213, 8.333, 16.350 False
221.906, 129.205, 8.333, 16.400 False
221.490, 129.198, 8.333, 16.450 False
221.073, 129.191, 8.333, 16.500 False
220.656, 129.184, 8.333, 16.550 False
220.240, 129.177, 8.333, 16.600 False
219.823, 129.171, 8.333, 16.650 False
219.407, 129.165, 8.333, 16.700 False
218.990, 129.159, 8.333, 16.750 False
